year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1918,173.9,173.82,174.01,174.02,173.98,174.1,174.12,174.09,174.09,174.02,174.02,174.01
1919,174,174,174.11,174.25,174.46,174.49,174.39,174.29,174.18,174.08,174.03,173.89
1920,173.72,173.55,173.57,173.81,174.04,174.09,174.13,174.13,174.06,173.96,173.91,173.93
1921,173.92,173.88,173.97,174.15,174.26,174.24,174.2,174.09,174,173.89,173.85,173.86
1922,173.78,173.66,173.75,174.05,174.17,174.2,174.16,174.08,174.02,173.88,173.74,173.64
1923,173.66,173.56,173.64,173.78,173.89,173.94,173.93,173.85,173.8,173.69,173.62,173.73
1924,173.76,173.72,173.68,173.84,173.99,174.04,174.08,174,173.91,173.84,173.66,173.6
1925,173.51,173.48,173.63,173.73,173.71,173.69,173.66,173.66,173.61,173.49,173.48,173.47
1926,173.37,173.32,173.34,173.61,173.7,173.71,173.7,173.73,173.76,173.85,173.82,173.78
1927,173.68,173.62,173.66,173.85,173.93,174.01,174,173.94,173.84,173.73,173.68,173.88
1928,173.89,173.88,173.77,173.9,173.97,174.07,174.16,174.12,173.99,173.9,173.87,173.9
1929,173.92,173.98,174.12,174.41,174.64,174.62,174.6,174.48,174.34,174.23,174.2,174.2
1930,174.38,174.32,174.42,174.54,174.53,174.47,174.4,174.26,174.15,174.02,173.9,173.85
1931,173.78,173.67,173.58,173.68,173.78,173.84,173.86,173.8,173.71,173.64,173.56,173.56
1932,173.74,173.82,173.77,173.82,173.9,173.9,173.86,173.79,173.69,173.54,173.51,173.49
1933,173.57,173.54,173.62,173.84,173.98,173.96,173.88,173.77,173.65,173.52,173.41,173.38
1934,173.34,173.22,173.2,173.38,173.44,173.45,173.45,173.43,173.38,173.3,173.2,173.19
1935,173.21,173.18,173.29,173.4,173.51,173.57,173.6,173.6,173.49,173.38,173.36,173.34
1936,173.24,173.18,173.38,173.6,173.7,173.69,173.66,173.59,173.53,173.49,173.43,173.37
1937,173.55,173.74,173.7,173.82,174.01,174.06,174.13,174.06,173.9,173.72,173.62,173.53
1938,173.52,173.63,173.78,173.97,173.99,174.01,174.04,174.03,173.92,173.83,173.7,173.67
