year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1918,176.71,176.73,176.8,176.89,176.99,177.07,177.07,177.01,176.94,176.83,176.82,176.78
1919,176.74,176.68,176.68,176.77,176.89,176.92,176.88,176.83,176.72,176.66,176.62,176.55
1920,176.5,176.47,176.49,176.63,176.68,176.73,176.79,176.76,176.73,176.65,176.57,176.5
1921,176.44,176.42,176.42,176.54,176.63,176.64,176.6,176.54,176.5,176.44,176.35,176.34
1922,176.27,176.24,176.28,176.43,176.57,176.63,176.67,176.63,176.56,176.46,176.35,176.25
1923,176.16,176.13,176.15,176.22,176.34,176.41,176.42,176.4,176.36,176.29,176.18,176.11
1924,176.06,176.05,176.06,176.11,176.24,176.28,176.33,176.38,176.33,176.24,176.12,176.04
1925,175.95,175.92,175.94,175.96,175.98,176,176.03,175.99,175.92,175.84,175.76,175.74
1926,175.69,175.66,175.69,175.79,175.88,175.99,176.02,176.03,176.02,175.97,175.93,175.95
1927,175.92,175.94,176,176.08,176.2,176.3,176.34,176.31,176.22,176.21,176.14,176.12
1928,176.1,176.11,176.15,176.29,176.44,176.5,176.59,176.62,176.6,176.61,176.65,176.66
1929,176.65,176.63,176.65,176.86,177.07,177.15,177.18,177.13,177.03,176.9,176.82,176.68
1930,176.64,176.64,176.66,176.69,176.76,176.79,176.84,176.8,176.69,176.57,176.42,176.31
1931,176.21,176.17,176.16,176.17,176.19,176.2,176.2,176.14,176.05,176.02,175.97,175.94
1932,175.94,175.93,175.91,175.95,176.02,176.04,176.05,176.01,175.95,175.87,175.84,175.78
1933,175.74,175.73,175.73,175.83,175.99,176.06,176.08,176.02,175.92,175.83,175.76,175.72
1934,175.7,175.67,175.67,175.74,175.81,175.84,175.87,175.84,175.82,175.76,175.72,175.76
1935,175.74,175.74,175.78,175.85,175.91,175.97,176.05,176.04,175.96,175.91,175.89,175.85
1936,175.83,175.81,175.85,175.92,176.01,176.07,176.06,176,176.02,175.99,175.91,175.8
1937,175.82,175.82,175.84,175.86,176,176.04,176.06,176.04,176.01,175.92,175.86,175.8
1938,175.76,175.85,175.92,176.08,176.16,176.28,176.33,176.35,176.34,176.28,176.21,176.13
1939,176.07,176.07,176.1,176.15,176.29,176.4,176.45,176.46,176.44,176.35,176.27,176.18
1940,176.09,176.07,176.03,176.04,176.12,176.2,176.25,176.27,176.26,176.19,176.11,176.07
1941,176.08,176.08,176.06,176.09,176.17,176.19,176.16,176.11,176.09,176.12,176.17,176.14
1942,176.12,176.13,176.17,176.29,176.38,176.5,176.52,176.5,176.44,176.38,176.33,176.25
1943,176.25,176.27,176.33,176.43,176.58,176.77,176.88,176.92,176.88,176.8,176.75,176.66
1944,176.57,176.54,176.54,176.57,176.64,176.69,176.72,176.68,176.64,176.6,176.52,176.45
1945,176.36,176.33,176.36,176.45,176.55,176.72,176.78,176.74,176.7,176.66,176.62,176.57
1946,176.56,176.57,176.65,176.7,176.7,176.75,176.77,176.69,176.6,176.49,176.42,176.32
1947,176.28,176.28,176.25,176.39,176.57,176.72,176.8,176.81,176.77,176.72,176.65,176.56
1948,176.48,176.42,176.47,176.61,176.72,176.73,176.72,176.67,176.57,176.4,176.32,176.26
1949,176.2,176.19,176.19,176.26,176.31,176.34,176.38,176.34,176.22,176.14,176.02,175.94
1950,175.96,175.99,176.02,176.17,176.27,176.34,176.42,176.44,176.43,176.4,176.34,176.35
1951,176.34,176.34,176.41,176.58,176.75,176.82,176.91,176.93,176.92,176.93,176.95,176.95
1952,176.95,176.96,176.96,177.08,177.17,177.22,177.26,177.28,177.22,177.06,176.94,176.92
1953,176.85,176.82,176.83,176.91,177,177.07,177.12,177.11,177.02,176.92,176.81,176.74
1954,176.63,176.6,176.64,176.71,176.83,176.92,176.96,176.94,176.9,176.98,176.95,176.89
1955,176.83,176.78,176.76,176.82,176.88,176.91,176.88,176.79,176.64,176.54,176.46,176.38
1956,176.31,176.3,176.32,176.37,176.5,176.57,176.62,176.62,176.56,176.45,176.37,176.29
1957,176.22,176.19,176.17,176.2,176.28,176.35,176.43,176.38,176.33,176.24,176.21,176.16
1958,176.15,176.13,176.12,176.14,176.12,176.12,176.15,176.11,176.07,175.98,175.91,175.81
1959,175.75,175.75,175.79,175.92,176.06,176.11,176.12,176.12,176.1,176.1,176.13,176.12
1960,176.14,176.16,176.14,176.24,176.5,176.64,176.72,176.77,176.73,176.64,176.57,176.48
1961,176.38,176.31,176.33,176.36,176.42,176.44,176.46,176.45,176.43,176.38,176.32,176.24
1962,176.2,176.17,176.19,176.26,176.34,176.37,176.36,176.32,176.26,176.17,176.06,175.97
1963,175.89,175.85,175.85,175.94,176.02,176.06,176.04,176.03,175.98,175.9,175.8,175.71
1964,175.63,175.59,175.58,175.61,175.74,175.76,175.78,175.77,175.76,175.7,175.65,175.62
1965,175.6,175.62,175.67,175.77,175.94,176,176.02,176.04,176.07,176.1,176.07,176.09
1966,176.1,176.08,176.13,176.2,176.26,176.3,176.28,176.24,176.17,176.08,176.01,176.08
1967,176.07,176.07,176.06,176.23,176.35,176.45,176.5,176.48,176.4,176.34,176.34,176.32
1968,176.29,176.3,176.27,176.35,176.4,176.47,176.55,176.58,176.6,176.57,176.5,176.48
1969,176.47,176.47,176.45,176.54,176.7,176.82,176.94,176.95,176.86,176.78,176.73,176.64
1970,176.59,176.56,176.53,176.58,176.68,176.76,176.8,176.78,176.77,176.73,176.69,176.67
1971,176.63,176.62,176.68,176.76,176.86,176.94,176.96,176.96,176.9,176.84,176.76,176.75
1972,176.73,176.65,176.65,176.72,176.88,176.93,176.99,177.05,177.07,177.03,177,176.96
1973,176.98,176.95,176.98,177.1,177.2,177.3,177.3,177.29,177.21,177.13,177.04,177
1974,176.95,176.97,177,177.07,177.19,177.28,177.32,177.26,177.15,177.04,176.98,176.91
1975,176.87,176.86,176.87,176.92,177.06,177.14,177.15,177.1,177.07,176.95,176.87,176.82
1976,176.76,176.75,176.87,177.02,177.11,177.15,177.15,177.08,176.95,176.8,176.64,176.51
1977,176.42,176.38,176.44,176.56,176.57,176.55,176.56,176.54,176.53,176.5,176.5,176.51
1978,176.48,176.45,176.43,176.51,176.61,176.67,176.69,176.68,176.71,176.7,176.62,176.54
1979,176.51,176.48,176.54,176.71,176.88,176.95,176.98,177,176.96,176.88,176.83,176.81
1980,176.78,176.72,176.68,176.77,176.84,176.9,176.93,176.93,176.9,176.82,176.72,176.65
1981,176.59,176.56,176.6,176.67,176.75,176.8,176.82,176.81,176.8,176.73,176.66,176.59
1982,176.51,176.46,176.45,176.56,176.62,176.66,176.69,176.69,176.65,176.62,176.6,176.67
1983,176.67,176.66,176.68,176.76,176.9,177.02,177.02,176.98,176.93,176.87,176.77,176.74
1984,176.7,176.7,176.72,176.81,176.91,177.01,177.06,177.04,177.02,176.96,176.93,176.88
1985,176.88,176.86,176.98,177.14,177.24,177.25,177.23,177.19,177.2,177.16,177.19,177.2
1986,177.14,177.11,177.12,177.23,177.28,177.33,177.39,177.39,177.38,177.5,177.38,177.26
1987,177.18,177.1,177.06,177.07,177.06,177.07,177.04,176.99,176.9,176.79,176.7,176.68
1988,176.63,176.6,176.57,176.67,176.7,176.67,176.61,176.57,176.48,176.42,176.43,176.42
1989,176.38,176.33,176.32,176.41,176.44,176.56,176.57,176.54,176.47,176.34,176.27,176.18
1990,176.15,176.16,176.19,176.27,176.35,176.44,176.51,176.49,176.45,176.41,176.39,176.39
1991,176.36,176.31,176.33,176.48,176.6,176.66,176.64,176.59,176.48,176.4,176.38,176.4
1992,176.38,176.36,176.38,176.44,176.53,176.52,176.54,176.53,176.52,176.49,176.52,176.54
1993,176.54,176.51,176.48,176.58,176.7,176.82,176.91,176.88,176.83,176.76,176.7,176.64
1994,176.57,176.56,176.59,176.63,176.7,176.72,176.82,176.81,176.78,176.71,176.66,176.59
1995,176.53,176.49,176.47,176.49,176.58,176.64,176.63,176.64,176.55,176.46,176.44,176.41
1996,176.37,176.39,176.39,176.46,176.63,176.76,176.83,176.84,176.82,176.8,176.79,176.77
1997,176.79,176.82,176.89,176.95,177.07,177.13,177.19,177.16,177.12,177.02,176.89,176.78
1998,176.74,176.71,176.74,176.89,176.91,176.9,176.88,176.8,176.68,176.55,176.44,176.36
1999,176.27,176.28,176.24,176.25,176.28,176.34,176.4,176.36,176.24,176.14,176.04,175.99
2000,175.92,175.87,175.9,175.92,176,176.1,176.13,176.13,176.09,175.98,175.89,175.81
2001,175.77,175.78,175.78,175.85,175.95,176.06,176.05,176.03,176.01,176.03,176.05,176.05
2002,175.99,175.95,175.99,176.06,176.19,176.29,176.33,176.32,176.24,176.14,176.01,175.91
2003,175.82,175.75,175.73,175.82,175.92,176,176.04,176.02,175.94,175.87,175.89,175.9
2004,175.87,175.84,175.9,175.98,176.12,176.31,176.37,176.33,176.28,176.15,176.1,176.08
2005,176.08,176.1,176.1,176.14,176.19,176.21,176.19,176.17,176.09,176,175.93,175.88
2006,175.88,175.92,175.93,176.01,176.09,176.14,176.14,176.13,176.04,175.99,175.94,175.98
