year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1918,74.74,74.72,74.92,75.1,75.09,75.06,74.99,74.87,74.78,74.74,74.74,74.72
1919,74.76,74.72,74.76,74.92,75.18,75.36,75.28,75.16,75.01,74.87,74.78,74.67
1920,74.54,74.44,74.46,74.6,74.64,74.62,74.66,74.64,74.59,74.53,74.51,74.58
1921,74.61,74.58,74.7,74.88,74.96,74.92,74.84,74.71,74.56,74.46,74.39,74.38
1922,74.36,74.34,74.47,74.76,74.92,74.96,75.02,74.9,74.75,74.61,74.47,74.32
1923,74.3,74.27,74.36,74.54,74.62,74.72,74.68,74.55,74.44,74.32,74.24,74.28
1924,74.34,74.4,74.39,74.55,74.76,74.82,74.79,74.75,74.62,74.56,74.41,74.3
1925,74.2,74.26,74.5,74.62,74.62,74.56,74.49,74.4,74.3,74.22,74.23,74.28
1926,74.2,74.15,74.16,74.41,74.55,74.55,74.49,74.44,74.41,74.41,74.5,74.56
1927,74.5,74.52,74.65,74.73,74.73,74.77,74.74,74.66,74.52,74.44,74.4,74.62
1928,74.74,74.73,74.72,74.87,74.93,74.93,74.97,74.94,74.79,74.67,74.64,74.68
1929,74.68,74.67,74.79,75.14,75.45,75.49,75.46,75.34,75.18,75.03,74.92,74.87
1930,74.98,75.08,75.24,75.36,75.38,75.39,75.37,75.19,75,74.82,74.64,74.52
1931,74.42,74.36,74.34,74.43,74.48,74.57,74.51,74.42,74.3,74.2,74.14,74.12
1932,74.26,74.46,74.51,74.69,74.79,74.76,74.7,74.61,74.44,74.32,74.26,74.23
1933,74.24,74.21,74.2,74.39,74.54,74.57,74.48,74.38,74.26,74.1,73.98,73.96
1934,74.04,74.05,74.06,74.24,74.29,74.22,74.14,74,73.91,73.82,73.75,73.74
1935,73.81,73.86,73.94,74.03,74.11,74.19,74.24,74.16,74.04,73.92,73.88,73.87
1936,73.84,73.78,73.98,74.45,74.53,74.48,74.38,74.23,74.16,74.08,74.06,74
1937,74.14,74.34,74.39,74.47,74.7,74.77,74.76,74.69,74.55,74.4,74.4,74.34
1938,74.28,74.38,74.54,74.7,74.74,74.72,74.66,74.64,74.52,74.46,74.36,74.27
1939,74.24,74.26,74.42,74.68,74.8,74.78,74.74,74.66,74.51,74.38,74.26,74.18
1940,74.12,74.08,74.08,74.37,74.62,74.73,74.75,74.66,74.54,74.42,74.36,74.38
1941,74.5,74.52,74.53,74.62,74.6,74.53,74.46,74.37,74.28,74.18,74.16,74.14
1942,74.14,74.14,74.3,74.58,74.7,74.79,74.74,74.69,74.6,74.52,74.5,74.5
1943,74.64,74.72,74.89,75.06,75.33,75.6,75.54,75.44,75.29,75.1,75.06,74.94
1944,74.8,74.72,74.72,74.88,75.06,75.12,75.11,75,74.88,74.73,74.59,74.54
1945,74.53,74.54,74.76,75.04,75.22,75.34,75.33,75.24,75.12,75.22,75.18,75.2
1946,75.16,75.1,75.2,75.16,75.11,75.13,75.1,74.98,74.84,74.76,74.72,74.66
1947,74.68,74.78,74.8,75.07,75.28,75.63,75.66,75.58,75.41,75.18,75.02,74.94
1948,74.86,74.84,75.02,75.32,75.42,75.46,75.38,75.24,75.05,74.88,74.78,74.72
1949,74.74,74.84,74.94,75.03,75.06,74.98,74.85,74.7,74.57,74.48,74.36,74.34
1950,74.52,74.68,74.78,75.1,75.17,75.15,75.09,74.99,74.88,74.78,74.74,74.82
1951,74.89,74.98,75.18,75.47,75.62,75.59,75.56,75.39,75.24,75.06,74.98,75
1952,75.1,75.27,75.37,75.62,75.72,75.76,75.64,75.48,75.32,75.15,74.98,74.98
1953,74.94,74.94,75,75.17,75.3,75.34,75.23,75.12,74.98,74.82,74.69,74.65
1954,74.62,74.68,74.89,75.09,75.32,75.3,75.18,75.02,74.92,74.9,74.92,74.94
1955,75.02,74.98,75.18,75.44,75.49,75.42,75.27,75.14,74.98,74.94,74.98,74.91
1956,74.78,74.69,74.76,74.95,75.23,75.3,75.2,75.06,74.99,74.82,74.68,74.6
1957,74.55,74.56,74.61,74.7,74.78,74.84,74.88,74.78,74.65,74.5,74.38,74.37
1958,74.42,74.38,74.45,74.55,74.6,74.59,74.54,74.46,74.39,74.32,74.25,74.19
1959,74.16,74.3,74.46,74.79,74.86,74.8,74.69,74.51,74.34,74.25,74.22,74.32
1960,74.45,74.56,74.59,74.87,75.11,75.14,75,74.8,74.61,74.5,74.49,74.43
1961,74.33,74.23,74.43,74.66,74.94,75,74.96,74.82,74.69,74.52,74.4,74.38
1962,74.33,74.27,74.32,74.62,74.85,74.93,74.88,74.85,74.74,74.69,74.62,74.6
1963,74.49,74.33,74.31,74.65,74.92,75.06,75.02,74.96,74.8,74.58,74.41,74.33
1964,74.18,74.02,74.02,74.27,74.54,74.67,74.68,74.57,74.43,74.2,74,73.86
1965,73.83,73.88,74.04,74.25,74.51,74.63,74.71,74.66,74.6,74.54,74.52,74.58
1966,74.56,74.53,74.66,74.74,74.79,74.91,74.9,74.82,74.72,74.58,74.5,74.57
1967,74.59,74.6,74.53,74.77,74.97,75.09,75.15,75.1,74.96,74.9,74.87,74.77
1968,74.67,74.69,74.7,74.9,74.9,75.02,75.08,74.98,74.86,74.66,74.53,74.6
1969,74.62,74.69,74.62,74.81,75.02,75.15,75.08,74.93,74.68,74.5,74.45,74.44
1970,74.42,74.44,74.46,74.69,74.89,74.94,74.99,74.9,74.74,74.64,74.56,74.56
1971,74.58,74.57,74.71,74.87,75.02,74.98,74.93,74.82,74.74,74.59,74.44,74.43
1972,74.54,74.63,74.73,74.95,75.21,75.26,75.34,75.25,75.02,74.78,74.71,74.8
1973,75.05,75.21,75.33,75.65,75.73,75.7,75.52,75.27,75.01,74.78,74.64,74.63
1974,74.83,75.02,75.1,75.29,75.5,75.59,75.5,75.25,74.96,74.68,74.53,74.54
1975,74.56,74.71,74.84,75.01,75.1,75.1,74.98,74.83,74.73,74.7,74.6,74.56
1976,74.62,74.71,75.07,75.37,75.54,75.54,75.42,75.22,75,74.83,74.67,74.54
1977,74.5,74.44,74.62,74.86,74.9,74.82,74.85,74.86,74.82,74.83,74.75,74.85
1978,75.08,75.12,74.98,75.22,75.32,75.23,75.04,74.89,74.73,74.58,74.44,74.42
1979,74.59,74.64,74.77,75.05,75.16,75.13,75.02,74.92,74.86,74.75,74.61,74.58
1980,74.6,74.61,74.6,74.99,75.14,75.13,75.12,75.06,74.88,74.66,74.55,74.54
1981,74.51,74.51,74.75,74.74,74.84,74.95,75.01,74.98,74.93,74.8,74.76,74.65
1982,74.59,74.6,74.62,74.91,75,75.07,75.03,74.85,74.71,74.58,74.53,74.54
1983,74.64,74.76,74.77,74.87,75.15,75.17,75,74.92,74.79,74.64,74.53,74.62
1984,74.73,74.76,74.9,75.12,75.3,75.32,75.21,75.02,74.82,74.63,74.52,74.49
1985,74.66,74.63,74.86,75.09,75.18,75.17,75.11,74.93,74.8,74.64,74.67,74.79
1986,74.9,74.98,75.06,75.29,75.29,75.34,75.33,75.25,75.11,75.16,75.04,75.02
1987,75,75.04,75,75.21,75.13,75.02,74.93,74.75,74.62,74.51,74.44,74.54
1988,74.53,74.59,74.59,74.75,74.88,74.92,74.86,74.8,74.68,74.56,74.54,74.46
1989,74.42,74.43,74.39,74.7,74.99,75.22,75.19,75.02,74.84,74.7,74.65,74.58
1990,74.54,74.62,74.77,74.98,75.11,75.14,75.01,74.87,74.7,74.64,74.62,74.65
1991,74.93,75,75.06,75.2,75.29,75.18,75.04,74.86,74.64,74.49,74.36,74.39
1992,74.44,74.45,74.56,74.84,75.11,75.05,75,75.03,74.98,74.85,74.82,74.86
1993,75.04,75.16,75.14,75.42,75.61,75.46,75.24,75.01,74.75,74.6,74.52,74.56
1994,74.55,74.52,74.55,74.87,75.1,75.08,75.02,74.93,74.78,74.62,74.54,74.5
1995,74.54,74.72,74.72,74.7,74.8,74.9,74.91,74.88,74.7,74.65,74.7,74.65
1996,74.62,74.75,74.77,74.82,75.13,75.23,75.15,74.99,74.83,74.74,74.72,74.73
1997,74.81,74.9,75.01,75.17,75.33,75.3,75.19,75.01,74.87,74.74,74.63,74.59
1998,74.82,75.06,75.15,75.42,75.35,75.18,75.14,74.93,74.73,74.51,74.34,74.29
1999,74.32,74.43,74.5,74.63,74.71,74.78,74.81,74.73,74.58,74.47,74.43,74.47
2000,74.5,74.45,74.58,74.82,75.1,75.26,75.24,75.06,74.81,74.61,74.46,74.47
2001,74.49,74.55,74.65,74.84,74.93,74.99,74.97,74.82,74.63,74.53,74.47,74.52
2002,74.56,74.68,74.79,74.98,75.22,75.33,75.19,74.91,74.65,74.49,74.36,74.32
2003,74.33,74.29,74.35,74.73,74.95,75.12,75.05,74.99,74.75,74.63,74.64,74.73
2004,74.83,74.75,74.72,74.89,75.04,75.14,75.09,75.02,74.95,74.7,74.5,74.55
2005,74.74,74.85,74.84,75.03,75.11,75.02,74.94,74.79,74.69,74.6,74.58,74.55
2006,74.63,74.86,74.82,74.83,74.84,74.89,74.98,74.95,74.81,74.74,74.79,74.83
2007,74.98,74.97,74.85,75.01,75.05,74.98,74.86,74.71,74.56,74.42,74.31,74.32
2008,74.56,74.75,74.87,75.18,75.3,75.19,75.12,75.06,74.81,74.6,74.51,74.55
2009,74.76,74.82,74.92,75.12,75.19,75.16,75.12,75.03,74.78,74.6,74.5,74.48
2010,74.51,74.54,74.55,74.66,74.71,74.85,74.97,74.9,74.72,74.61,74.5,74.52
2011,74.49,74.41,74.61,74.85,75.23,75.33,75.14,74.94,74.76,74.66,74.58,74.62
2012,74.8,74.99,74.97,74.92,74.91,74.9,74.79,74.65,74.5,74.34,74.29,74.28
2013,74.38,74.52,74.57,74.72,74.88,75.1,75.14,74.99,74.79,74.64,74.6,74.53
2014,74.64,74.61,74.55,74.83,75.14,75.17,75.09,74.96,74.78,74.59,74.46,74.46
2015,74.56,74.5,74.41,74.62,74.81,75.02,75.21,75.11,74.91,74.67,74.56,74.47
2016,74.63,74.81,74.97,75.11,75.09,75.02,74.95,74.84,74.7,74.54,74.48,74.46
2017,74.62,74.82,75,75.35,75.8,75.81,75.69,75.43,75.08,74.86,74.86,74.77
2018,74.83,74.9,74.93,75.01,75.26,75.22,75.06,74.91,74.73,74.62,74.62,74.72
2019,74.83,74.97,74.97,75.15,75.7,75.91,75.8,75.53,,,,
